
| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
| Phase               | Time in Phase | Time/Date                 | Description                                                       |
| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
| add_files           | 00h:00m:01s   | 16:21:25 Sat Jul 29 2017  | Add source files                                                  |
| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
| add_xdc             | 00h:00m:00s   | 16:21:26 Sat Jul 29 2017  | Add synthesis only XDC files                                      |
| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
| synth_design        | 00h:03m:59s   | 16:21:26 Sat Jul 29 2017  | patmos_top -flatten_hierarchy rebuilt                             |
| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
| write_checkpiont    | 00h:00m:03s   | 16:25:25 Sat Jul 29 2017  | Write out synthesis DCP                                           |
| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
| report_utilization  | 00h:00m:00s   | 16:25:28 Sat Jul 29 2017  | Report Synthesis Utilization of Static                            |
| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
Total time:		00h:04m:03s

| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
| Phase               | Time in Phase | Time/Date                 | Description                                                       |
| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
| add_files           | 00h:00m:01s   | 16:25:29 Sat Jul 29 2017  | Add source files                                                  |
| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
| synth_design        | 00h:00m:24s   | 16:25:30 Sat Jul 29 2017  | recon_matrix -flatten_hierarchy rebuilt                           |
| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
| write_checkpiont    | 00h:00m:01s   | 16:25:54 Sat Jul 29 2017  | Write out synthesis DCP                                           |
| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
| report_utilization  | 00h:00m:01s   | 16:25:55 Sat Jul 29 2017  | Report Synthesis Utilization of recon_matmul_float_9b_4x4         |
| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
Total time:		00h:00m:27s

| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
| Phase               | Time in Phase | Time/Date                 | Description                                                       |
| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
| add_files           | 00h:00m:01s   | 16:25:56 Sat Jul 29 2017  | Add source files                                                  |
| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
| synth_design        | 00h:00m:29s   | 16:25:57 Sat Jul 29 2017  | recon_matrix -flatten_hierarchy rebuilt                           |
| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
| write_checkpiont    | 00h:00m:02s   | 16:26:26 Sat Jul 29 2017  | Write out synthesis DCP                                           |
| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
| report_utilization  | 00h:00m:00s   | 16:26:28 Sat Jul 29 2017  | Report Synthesis Utilization of recon_matmul_float_9b_16x16       |
| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
Total time:		00h:00m:32s

| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
| Phase               | Time in Phase | Time/Date                 | Description                                                       |
| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
| add_files           | 00h:00m:01s   | 16:26:28 Sat Jul 29 2017  | Add source files                                                  |
| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
| synth_design        | 00h:00m:45s   | 16:26:29 Sat Jul 29 2017  | recon_matrix -flatten_hierarchy rebuilt                           |
| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
| write_checkpiont    | 00h:00m:02s   | 16:27:14 Sat Jul 29 2017  | Write out synthesis DCP                                           |
| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
| report_utilization  | 00h:00m:01s   | 16:27:16 Sat Jul 29 2017  | Report Synthesis Utilization of recon_matmul_float_9b_32x32       |
| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
Total time:		00h:00m:49s

| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
| Phase               | Time in Phase | Time/Date                 | Description                                                       |
| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
| add_files           | 00h:00m:00s   | 16:27:17 Sat Jul 29 2017  | Add source files                                                  |
| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
| synth_design        | 00h:00m:11s   | 16:27:17 Sat Jul 29 2017  | recon_matrix -flatten_hierarchy rebuilt                           |
| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
| write_checkpiont    | 00h:00m:00s   | 16:27:28 Sat Jul 29 2017  | Write out synthesis DCP                                           |
| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
| report_utilization  | 00h:00m:01s   | 16:27:28 Sat Jul 29 2017  | Report Synthesis Utilization of recon_matmul_int_9b_4x4           |
| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
Total time:		00h:00m:12s

| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
| Phase               | Time in Phase | Time/Date                 | Description                                                       |
| ------------------- | ------------- | ------------------------- | ----------------------------------------------------------------- |
